item_code,category,item,specification,unit, unit_price , purchase_year ,purchase_date,quantity,total_price,order_date,delivery_date,lead_time
ACABF00001,비철제품,황동판(2종),"0.5×400×1,200㎜",kg," 9,240 ",2020,2020-02-05,41," 378,840 ",2020-01-28,2020-06-08,132
ACABG00001,비철제품,전기동,99.99% 이상,Ton," 9,730,000 ",2020,2020-08-28,3," 29,190,000 ",2020-08-13,2020-09-08,26
ACABH00001,비철제품,알루미늄괴,V-INGOT(중국제),Ton," 2,533,000 ",2020,2020-12-08,48," 121,584,000 ",2020-11-14,2020-12-25,41
ACABI00001,비철제품,니켈,99.9%이상 ,kg," 18,600 ",2020,2020-09-14,46," 855,600 ",2020-09-13,2021-01-22,131
ACABJ00001,비철제품,카드뮴,99.9%이상 (합금용),kg," 4,000 ",2020,2020-02-12,19," 76,000 ",2020-01-26,2020-05-02,97
ACABK00001,비철제품,전기아연,99.995%(ＳＨＧ),Ton," 3,567,000 ",2020,2020-10-27,48," 171,216,000 ",2020-10-11,2020-12-24,74
ACABL00001,비철제품,전기연,99.99%이상,Ton," 2,672,000 ",2020,2020-06-13,26," 69,472,000 ",2020-06-01,2020-09-27,118
ACABM00001,비철제품,주석(석괴),99.99%이상,kg," 23,850 ",2020,2020-12-01,3," 71,550 ",2020-12-01,2020-12-11,10
ACABN00001,비철제품,망간,99.98%이상,kg," 2,200 ",2020,2020-08-23,8," 17,600 ",2020-08-18,2020-09-26,39
ACABO00001,비철제품,연판,"1㎜× 909×1,818㎜",매," 65,000 ",2020,2020-11-21,38," 2,470,000 ",2020-10-25,2020-12-13,49
ACABP00001,비철제품,봉납땜,Sn 50%,kg," 24,300 ",2020,2020-10-05,21," 510,300 ",2020-10-04,2020-12-27,84
ACABQ00001,비철제품,알루미늄판,"0.4㎜ 400×1,200㎜(A1235)",kg," 4,070 ",2020,2020-06-06,0, - ,2020-06-06,2020-07-21,45
ACABR00001,비철제품,알루미늄관,22×1.0㎜×3m,본," 2,860 ",2020,2020-01-25,36," 102,960 ",2020-01-24,2020-05-10,107
ADABS00001,골재 / 목재,모래,"江모래, 시내도착도                       ",㎥," 35,000 ",2020,2020-08-24,42," 1,470,000 ",2020-08-17,2020-12-16,121
ADABT00001,골재 / 목재,자연자갈,#57 25mm시내도착도,㎥," 30,000 ",2020,2020-03-09,4," 120,000 ",2020-03-08,2020-04-23,46
ADABU00001,골재 / 목재,쇄석자갈,#467 40mm시내도착도,㎥," 28,000 ",2020,2020-08-11,26," 728,000 ",2020-08-01,2020-09-09,39
ADABV00001,골재 / 목재,시멘트(보통),40kg (포장품)                                                           ,포," 4,500 ",2020,2020-03-27,1," 4,500 ",2020-03-04,2020-07-14,132
ADABW00001,골재 / 목재,백시멘트,40kg /NET                                                                ,포," 9,900 ",2020,2020-10-21,7," 69,300 ",2020-10-08,2021-02-08,123
ADABX00001,골재 / 목재,타일시멘트,"줄눈용백색.ISO인증, KS인증  25kg",포," 5,200 ",2020,2020-12-27,41," 213,200 ",2020-12-22,2021-04-24,123
ADABY00001,골재 / 목재,레미콘,25㎜ 18MPa×80mm,㎥," 66,100 ",2020,2020-07-09,25," 1,652,500 ",2020-07-01,2020-09-25,86
ADABZ00001,골재 / 목재,미송각재,30×30×3600mm,재," 1,800 ",2020,2020-09-05,37," 66,600 ",2020-08-19,2020-08-28,9
ADACA00001,골재 / 목재,외송각재,30×30×3600mm,재," 1,450 ",2020,2020-02-07,34," 49,300 ",2020-02-05,2020-07-04,150
ADACB00001,골재 / 목재,나왕각재,45×90×3600mm,재," 5,100 ",2020,2020-04-07,12," 61,200 ",2020-03-22,2020-04-19,28
ADACC00001,골재 / 목재,미송판재,30×300×3600mm,재," 2,000 ",2020,2020-10-08,20," 40,000 ",2020-09-16,2020-10-12,26
ADACD00001,골재 / 목재,외송판재,30×300×3600mm,재," 1,600 ",2020,2020-06-27,46," 73,600 ",2020-06-23,2020-08-31,69
ADACE00001,골재 / 목재,나왕판재,30×300×3600mm(상품),재," 5,500 ",2020,2020-10-21,30," 165,000 ",2020-10-06,2020-11-14,39
AEACF00001,토목자재,스트레이트아스팔트,AP-3 침입도 80∼100㎜,kg, 490 ,2020,2020-11-11,49," 24,010 ",2020-10-20,2021-02-23,126
AEACG00001,토목자재,아스콘,#467기층용,M/T," 63,000 ",2020,2020-02-25,34," 2,142,000 ",2020-02-19,2020-06-06,108
AEACH00001,토목자재,보차도경계석,직선200×250×1000㎜                      ,EA," 29,520 ",2020,2020-01-06,26," 767,520 ",2020-01-04,2020-06-08,156
AEACI00001,토목자재,보차도용콘크리트조립블록,U형블록 6T백.청.황.녹,㎡," 11,000 ",2020,2020-03-13,50," 550,000 ",2020-02-15,2020-03-02,16
AEACJ00001,토목자재,콘크리트보차도경계블록,KSF4006 B형 18×20.5×25×100㎜,EA," 7,600 ",2020,2020-03-09,39," 296,400 ",2020-02-09,2020-04-26,77
AEACK00001,토목자재,U형블록,222×110.5×60 회색,㎡," 8,500 ",2020,2020-05-01,18," 153,000 ",2020-04-09,2020-04-16,7
AEACL00001,토목자재,돌망태,"사다리꼴블록개비온(석재포함),아연도금철선4종(ø4mm) 1×1×0.2m",EA," 80,000 ",2020,2020-05-21,34," 2,720,000 ",2020-05-17,2020-09-30,136
AEACM00001,토목자재,흄관,500×42㎜(보통관),본," 79,800 ",2020,2020-03-03,4," 319,200 ",2020-02-07,2020-04-20,73
AEACN00001,토목자재,콘크리트파일(PHC PILE),400×65×10m(A종),본," 249,900 ",2020,2020-04-22,44," 10,995,600 ",2020-03-24,2020-06-01,69
AEACO00001,토목자재,V.R관,500mm(보통관2종),본," 79,300 ",2020,2020-01-27,10," 793,000 ",2019-12-28,2020-02-02,36
AEACP00001,토목자재,U형강널말뚝,400*150*13㎜,M/T," 1,140,000 ",2020,2020-04-11,22," 25,080,000 ",2020-03-18,2020-08-29,164
AEACQ00001,토목자재,산업용화약,뉴마이트플러스Ⅰ 25mm  20kg/Box,Box," 74,200 ",2020,2020-04-02,5," 371,000 ",2020-03-06,2020-03-26,20
AFACR00001,건축자재,콘크리트벽돌,190×90×57㎜ KS,매, 70 ,2020,2020-03-06,14, 980 ,2020-02-15,2020-06-28,134
AFACS00001,건축자재,콘크리트블록,B-6 150×190×390㎜ KS,매, 700 ,2020,2020-09-16,17," 11,900 ",2020-09-02,2020-11-19,78
AFACT00001,건축자재,점토벽돌,"SH3201/3205(미장,토담) 190×90×57㎜",EA, 380 ,2020,2020-09-18,26," 9,880 ",2020-09-13,2021-03-03,171
AFACU00001,건축자재,대리석,"평창대리석, 벽체용 20T(물갈기)",㎡," 140,000 ",2020,2020-08-10,18," 2,520,000 ",2020-07-18,2020-08-30,43
AFACV00001,건축자재,화강석,포천석 (A급) 원석,재," 8,000 ",2020,2020-09-07,27," 216,000 ",2020-08-08,2020-09-23,46
AFACW00001,건축자재,석재타일,"자기질, GN 150x150x15T",㎡," 27,000 ",2020,2020-08-04,21," 567,000 ",2020-08-04,2020-08-16,12
AFACX00001,건축자재,외장타일,"200×200×9T(파스텔,무유,일반컬러)",㎡," 33,000 ",2020,2020-11-03,47," 1,551,000 ",2020-10-07,2021-02-02,118
AFACY00001,건축자재,아스팔트루핑,"루핑 25kg, 1m×21m, KSF 4902",R/L," 50,000 ",2020,2020-04-07,40," 2,000,000 ",2020-04-06,2020-06-06,61
AFACZ00001,건축자재,그을림점토기와,"한식그을림기와(중와)여와, 360×300×21",매," 2,080 ",2020,2020-07-08,24," 49,920 ",2020-06-26,2020-12-08,165
AFADA00001,건축자재,브로운아스팔트,KSM2204 PN. 침입도 10∼20,M/T," 1,700,000 ",2020,2020-07-22,19," 32,300,000 ",2020-06-27,2020-07-02,5
AFADB00001,건축자재,플라스틱창문틀,LNH-115미서기창115×1000×1000(WHITE),Set," 98,000 ",2020,2020-08-12,46," 4,508,000 ",2020-07-15,2020-12-26,164
AFADC00001,건축자재,알루미늄새시,프로로폰(불소코팅)에버그린,kg," 8,200 ",2020,2020-11-09,44," 360,800 ",2020-10-15,2021-01-09,86
AFADD00001,건축자재,판유리,"맑은유리,5mm 152.4×304.8㎝",㎡," 7,620 ",2020,2020-03-18,33," 251,460 ",2020-03-18,2020-09-02,168
AFADE00001,건축자재,수성도료(수성),"KSM6010 2종 2급, 백색, 내부용 18ℓ",통," 46,800 ",2020,2020-10-09,27," 1,263,600 ",2020-09-16,2021-01-18,124
AFADF00001,건축자재,유성도료(조합),"KSM6020 1종 1급, 백색, 18ℓ",통," 118,400 ",2020,2020-06-25,16," 1,894,400 ",2020-05-29,2020-11-02,157
AFADG00001,건축자재,도로용페인트,"KSM6080 3종 가열형(백색), 18ℓ",통," 97,000 ",2020,2020-09-25,12," 1,164,000 ",2020-09-24,2020-11-03,40
AFADH00001,건축자재,유성도료(에나멜),"KSM6020  2종, 1급, 백색, 18ℓ",통," 111,900 ",2020,2020-11-09,16," 1,790,400 ",2020-10-10,2020-11-10,31
AFADI00001,건축자재,비닐시트바닥재(숲),블루 2.0T* 1830mm,㎡," 16,000 ",2020,2020-06-07,11," 176,000 ",2020-05-08,2020-06-22,45
AFADJ00001,건축자재,디럭스타일,LG 3.0×300×300㎜(디럭스마블),㎡," 7,600 ",2020,2020-11-06,48," 364,800 ",2020-11-01,2021-01-27,87
AFADK00001,건축자재,스티로폼,1호 10×900×1.800㎜,매," 1,940 ",2020,2020-06-12,35," 67,900 ",2020-05-23,2020-08-07,76
AFADL00001,건축자재,유리섬유보드,#64K(밀도) 50mm 1m×2m,㎡," 8,320 ",2020,2020-03-06,14," 116,480 ",2020-02-18,2020-04-11,53
AFADM00001,건축자재,합판,(내수합판)12㎜×1220×2440㎜(4′×8′),매," 25,500 ",2020,2020-04-01,23," 586,500 ",2020-03-11,2020-05-08,58
AFADN00001,건축자재,마이텍스,12mm×300×600,㎡," 8,200 ",2020,2020-10-23,8," 65,600 ",2020-09-25,2020-12-23,89
AFADO00001,건축자재,일반석고보드,9.5×900×1800㎜,매," 3,900 ",2020,2020-06-16,36," 140,400 ",2020-06-05,2020-11-17,165
AGADP00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(흑관),m," 1,670 ",2020,2020-03-15,47," 78,490 ",2020-03-05,2020-08-11,159
AGADP00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(백관),m," 2,250 ",2020,2020-10-24,7," 15,750 ",2020-10-20,2021-01-21,93
AGADQ00001,배관설비재,공업배관용스테인리스관,STS 304 TP-A  호칭 15A 두께 2.0t -KSD3576-,m," 4,180 ",2020,2020-12-09,38," 158,840 ",2020-11-14,2021-01-29,76
AGADR00001,배관설비재,폴리부틸렌(PB)파이프,"급수,급탕관(직관,롤관) 15mm",m, 740 ,2020,2020-04-06,40," 29,600 ",2020-03-07,2020-03-18,11
AGADS00001,배관설비재,PVC파이프,수도용직관 20㎜×4m,본," 3,420 ",2020,2020-08-01,6," 20,520 ",2020-07-09,2020-07-23,14
AGADT00001,배관설비재,동파이프,L-TYPE 15A 15.88㎜   0.426kg/m,m," 4,350 ",2020,2020-10-26,39," 169,650 ",2020-09-29,2020-12-04,66
AGADU00001,배관설비재,수도용폴리에틸렌관,SDR11 PE80 무공관 20mm,m, 560 ,2020,2020-12-03,27," 15,120 ",2020-11-13,2021-03-17,124
AGADV00001,배관설비재,가스관,PLP 가스관  150A ,m," 43,550 ",2020,2020-12-10,43," 1,872,650 ",2020-12-08,2021-04-17,130
AGADW00001,배관설비재,가단주철제관이음쇠(흑관),나사식소켓 15mm ,EA, 450 ,2020,2020-07-09,10," 4,500 ",2020-07-08,2020-08-08,31
AGADX00001,배관설비재,동관이음쇠(KSD5578),90도 엘보 65mm  외경 66.68mm,EA," 17,220 ",2020,2020-09-16,35," 602,700 ",2020-09-05,2020-09-17,12
AHADY00001,밸브류,청동제밸브,게이트 15㎜   5kg/㎠,EA," 7,980 ",2020,2020-11-13,6," 47,880 ",2020-11-06,2020-12-18,42
AHADZ00001,밸브류,주철제밸브,게이트 80㎜  10kg/㎠,EA," 97,500 ",2020,2020-01-11,15," 1,462,500 ",2019-12-28,2020-06-23,178
AHAEA00001,밸브류,주강제밸브,게이트 80㎜  10kg/㎠,EA," 347,600 ",2020,2020-04-09,36," 12,513,600 ",2020-03-30,2020-08-08,131
AIAEB00001,보온.보냉재,미네랄울파이프카바,"40mm, 1½"", 40T",m," 4,603 ",2020,2020-05-04,3," 13,809 ",2020-04-22,2020-05-27,35
AJAEC00001,"전기통신
및
소방설비",HIV전선,단선2.5 SQ,m, 210 ,2020,2020-05-28,34," 7,140 ",2020-05-28,2020-06-18,21
AJAED00001,"전기통신
및
소방설비",OW전선,연선 14㎟,m," 1,290 ",2020,2020-03-20,17," 21,930 ",2020-03-20,2020-09-08,172
AJAEE00001,"전기통신
및
소방설비",F-CV전선,1C 2.5SQ(0.6/1KV),m, 423 ,2020,2020-03-15,25," 10,575 ",2020-03-03,2020-05-16,74
AJAEF00001,"전기통신
및
소방설비",고주파동축케이블,"ECX 5C-2V, 1×0.8㎜(소선수X소선경), 75Ω  -KSC 3610-",m, 680 ,2020,2020-08-18,4," 2,720 ",2020-08-09,2020-10-13,65
AJAEG00001,"전기통신
및
소방설비",CPEV전화케이블,"0.5㎜, 200P",m," 13,730 ",2020,2020-08-07,41," 562,930 ",2020-07-08,2020-10-16,100
AJAEH00001,"전기통신
및
소방설비",LAN(UTP)케이블,"UTP CAT.6/CM,  24AWG*4PR",m, 670 ,2020,2020-05-11,32," 21,440 ",2020-04-13,2020-09-15,155
AJAEI00001,"전기통신
및
소방설비",에나멜동선,PEW/UEW 0.14㎜,kg," 12,756 ",2020,2020-10-04,1," 12,756 ",2020-09-30,2021-02-10,133
AJAEJ00001,"전기통신
및
소방설비",강제전선관,"KSC 8401,16mm,21.0*2.30mm,1.06kg/m",m," 1,930 ",2020,2020-06-08,22," 42,460 ",2020-05-09,2020-07-08,60
AJAEK00001,"전기통신
및
소방설비",난연PE전선관(HIM),22×27.5×2.5㎜ UL94v2급,m, 780 ,2020,2020-12-25,11," 8,580 ",2020-12-24,2021-06-02,160
AJAEL00001,"전기통신
및
소방설비",몰드변압기,"100KVA (22.9Kv/480Kv 이하), 3상 표준소비효율",대," 13,300,000 ",2020,2020-01-14,32," 425,600,000 ",2020-01-13,2020-03-14,61
AJAEM00001,"전기통신
및
소방설비",배선용차단기(MCCB),"ABN-52C, 정격전압:460V, 정격전류:15~50, 14KA, 극수2P",대," 32,500 ",2020,2020-10-28,30," 975,000 ",2020-10-14,2020-11-06,23
AJAEN00001,"전기통신
및
소방설비",전자개폐기,"표준형 CMS-50, 11KW/220V, 22KW/460V, 2소자",대," 82,857 ",2020,2020-04-20,20," 1,657,140 ",2020-04-07,2020-07-17,101
AJAEO00001,"전기통신
및
소방설비",형광램프,"FL 20S-EX-D, 20W, 삼파장(번개표)",EA," 1,900 ",2020,2020-03-23,36," 68,400 ",2020-03-17,2020-06-09,84
AJAEP00001,"전기통신
및
소방설비",축전지,"자동차용축전지, BX 80 L/R, (12V,80AH)",EA," 115,000 ",2020,2020-11-24,3," 345,000 ",2020-11-07,2021-01-30,84
AJAEQ00001,"전기통신
및
소방설비",ABC소화기,"1.5kg(빌딩,공장용,대종규격)",대," 20,000 ",2020,2020-08-03,27," 540,000 ",2020-07-25,2020-08-23,29
AKAER00001,기계공구,수중펌프,심정용 ST-1027,대," 1,638,000 ",2020,2020-05-23,3," 4,914,000 ",2020-05-13,2020-08-04,83
AKAES00001,기계공구,교류아크용접기,HAWL-130 10KVA 5KW 130A,대," 196,000 ",2020,2020-08-26,18," 3,528,000 ",2020-08-14,2020-08-18,4
AKAET00001,기계공구,용접봉,연강용 4.0mm(KSE-4301),kg," 2,980 ",2020,2020-07-08,17," 50,660 ",2020-06-15,2020-09-30,107
AKAEU00001,기계공구,전기드릴,PD-10C,대," 90,000 ",2020,2020-03-22,3," 270,000 ",2020-03-12,2020-03-24,12
AKAEV00001,기계공구,핸드그라인더,PG-6,대," 176,000 ",2020,2020-04-27,35," 6,160,000 ",2020-04-15,2020-05-31,46
AKAEW00001,기계공구,단열볼베어링,ZZ 6010(국산),EA," 8,549 ",2020,2020-12-13,20," 170,980 ",2020-12-10,2021-06-06,178
AKAEX00001,기계공구,유도전동기,저압모터 0.75KW 4P 삼상전폐(프리미엄효율),대," 399,000 ",2020,2020-06-27,4," 1,596,000 ",2020-06-17,2020-07-06,19
ALAEY00001,석유화학제품,나프타,공업용,ℓ,301.6 ,2020,2020-07-06,1, 302 ,2020-06-29,2020-11-13,137
ALAEZ00001,석유화학제품,에틸렌,99.8%이상,Ton," 990,000 ",2020,2020-04-04,15," 14,850,000 ",2020-03-23,2020-06-07,76
ALAFA00001,석유화학제품,프로필렌,99.6%PG중합용,Ton," 895,000 ",2020,2020-03-04,48," 42,960,000 ",2020-02-16,2020-04-11,55
ALAFB00001,석유화학제품,부타디엔,1.3 부타디엔,Ton," 1,100,000 ",2020,2020-08-14,9," 9,900,000 ",2020-08-01,2020-11-10,101
ALAFC00001,석유화학제품,벤젠,99.9% 용제용,Ton," 1,020,000 ",2020,2020-09-05,25," 25,500,000 ",2020-08-06,2020-10-23,78
ALAFD00001,석유화학제품,톨루엔,99%,Ton," 635,000 ",2020,2020-09-10,47," 29,845,000 ",2020-08-18,2020-10-14,57
ALAFE00001,석유화학제품,크실렌,99%용제용,Ton," 655,000 ",2020,2020-02-24,3," 1,965,000 ",2020-02-05,2020-03-20,44
ALAFF00001,석유화학제품,싸이클로핵산,99.8%,Ton," 2,095,000 ",2020,2020-07-07,7," 14,665,000 ",2020-06-26,2020-08-18,53
ALAFG00001,석유화학제품,테레프탈산,"4CBA, 25PPM이하",Ton," 902,000 ",2020,2020-01-01,21," 18,942,000 ",2019-12-31,2020-03-09,69
ALAFH00001,석유화학제품,에틸렌그리콜,MEG 99.9%,Ton," 758,000 ",2020,2020-02-10,4," 3,032,000 ",2020-02-10,2020-04-26,76
ALAFI00001,석유화학제품,PVC수지,사출용,Ton," 1,180,000 ",2020,2020-04-09,36," 42,480,000 ",2020-03-25,2020-07-30,127
ALAFJ00001,석유화학제품,HDPE,사출용,Ton," 1,140,000 ",2020,2020-09-14,32," 36,480,000 ",2020-08-21,2020-12-12,113
ALAFK00001,석유화학제품,PS,GPPS,Ton," 1,600,000 ",2020,2020-04-05,31," 49,600,000 ",2020-03-15,2020-09-09,178
ALAFL00001,석유화학제품,ABS,일반용 ,Ton," 2,100,000 ",2020,2020-05-09,13," 27,300,000 ",2020-04-17,2020-05-30,43
ALAFM00001,석유화학제품,PP,일반용 ,Ton," 1,410,000 ",2020,2020-05-28,4," 5,640,000 ",2020-05-11,2020-06-26,46
ALAFN00001,석유화학제품,PG,공업용 Buㅣk,Ton," 2,710,000 ",2020,2020-01-24,2," 5,420,000 ",2020-01-16,2020-03-28,72
ALAFO00001,석유화학제품,페놀수지,"KC-4300, 함침용",kg," 2,470 ",2020,2020-09-23,43," 106,210 ",2020-09-04,2020-10-01,27
ALAFP00001,석유화학제품,페놀,합성99% ,Ton," 1,550,000 ",2020,2020-10-13,24," 37,200,000 ",2020-09-22,2020-12-10,79
ALAFQ00001,석유화학제품,PE필름,0.03㎜×90㎝×183ｍ,R/L," 29,160 ",2020,2020-04-25,33," 962,280 ",2020-04-11,2020-07-15,95
ALAFR00001,석유화학제품,PP필름,0.03㎜×10㎝×457ｍ,R/L," 8,280 ",2020,2020-07-05,24," 198,720 ",2020-07-04,2020-09-02,60
ALAFS00001,석유화학제품,천연고무,RSS #3,kg," 2,200 ",2020,2020-09-21,31," 68,200 ",2020-09-18,2021-01-14,118
ALAFT00001,석유화학제품,SBR,#1502,Ton," 1,940,000 ",2020,2020-04-05,7," 13,580,000 ",2020-03-21,2020-04-13,23
ALAFU00001,석유화학제품,LATEX,KSL203 in drum,Ton," 1,900,000 ",2020,2020-11-01,21," 39,900,000 ",2020-10-24,2021-01-29,97
ALAFV00001,석유화학제품,아크릴판,5㎜  1200×1800㎜,매," 92,900 ",2020,2020-10-14,14," 1,300,600 ",2020-09-17,2020-09-24,7
ALAFW00001,석유화학제품,아크릴파이프,100Ø 8×1020㎜,EA," 72,800 ",2020,2020-01-28,46," 3,348,800 ",2020-01-16,2020-05-18,123
ALAFX00001,석유화학제품,PE판,15㎜ 1000×2000㎜,매," 120,000 ",2020,2020-10-07,9," 1,080,000 ",2020-10-04,2020-10-16,12
AMAFY00001,"가스,화공약품",염산,35% 공업용 25kg,통," 12,000 ",2020,2020-05-10,39," 468,000 ",2020-05-06,2020-08-16,102
AMAFZ00001,"가스,화공약품",질산,68% 공업용 25kg,통," 20,000 ",2020,2020-12-23,18," 360,000 ",2020-12-09,2021-04-13,125
AMAGA00001,"가스,화공약품",인산,85% 공업용 35kg,통," 70,000 ",2020,2020-03-26,2," 140,000 ",2020-03-18,2020-05-23,66
AMAGB00001,"가스,화공약품",황산,98%공업용 25kg,통," 12,000 ",2020,2020-03-17,16," 192,000 ",2020-03-02,2020-03-21,19
AMAGC00001,"가스,화공약품",가성소다,98% 고체 25kg,포," 32,000 ",2020,2020-12-03,14," 448,000 ",2020-11-12,2021-01-28,77
AMAGD00001,"가스,화공약품",소다회,"99%,중회(공업용) 25kg",포," 25,000 ",2020,2020-03-08,1," 25,000 ",2020-02-12,2020-04-27,75
AMAGE00001,"가스,화공약품",염화칼슘,74% 공업용 25kg,포," 11,000 ",2020,2020-03-21,49," 539,000 ",2020-03-01,2020-04-26,56
AMAGF00001,"가스,화공약품",암모니아수,"25%,18kg",통," 18,000 ",2020,2020-04-10,2," 36,000 ",2020-04-06,2020-07-31,116
AMAGG00001,"가스,화공약품",과산화수소,"35% 액상, 20kg",통," 25,000 ",2020,2020-07-10,39," 975,000 ",2020-07-08,2020-11-08,123
AMAGH00001,"가스,화공약품",산화크롬,98.5% 25kg,포," 450,000 ",2020,2020-12-03,32," 14,400,000 ",2020-12-03,2021-02-06,65
AMAGI00001,"가스,화공약품",산소,"99.99%액체가스,탱크로리 (1.14kg/ℓ)",ℓ, 470 ,2020,2020-08-09,22," 10,340 ",2020-07-25,2020-11-29,127
AMAGJ00001,"가스,화공약품",질소,"99.99%액체가스,탱크로리 (0.808kg/ℓ)",ℓ, 470 ,2020,2020-07-19,41," 19,270 ",2020-07-11,2020-07-29,18
AMAGK00001,"가스,화공약품",수소,"압축가스,99.9% 40L",병," 11,500 ",2020,2020-07-10,6," 69,000 ",2020-07-07,2020-09-14,69
AMAGL00001,"가스,화공약품",아세틸렌,98% 용접용 (1kg=853ℓ),kg," 11,500 ",2020,2020-02-13,42," 483,000 ",2020-01-29,2020-07-03,156
ANAGM00001,섬유제품,면솜,상품 3.75kg (목화솜),kg," 18,100 ",2020,2020-12-11,19," 343,900 ",2020-12-10,2021-03-30,110
